source,extraction_date,keyword_source,keyword_group,search_rank,video_id,url,title,channel,view_count,upload_date,views_per_day,duration_seconds,song_type,single_track_candidate,language_type_inferred,artist_origin_inferred,genre_inferred,genre_category,mood_inferred,classification_note,matched_keywords,youtube_search_view_rank
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,7,HgVSHwmiqqo,https://www.youtube.com/watch?v=HgVSHwmiqqo,Mergužėlė - Tenai | Lietuviška Muzika,Mergužėlė,1740328,,,247,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian pop / mixed,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos; lietuviška muzika,11
YouTube search via yt-dlp,2026-06-14,lietuviškas repas,Lithuanian rap,2,kTWZLms1uwo,https://www.youtube.com/watch?v=kTWZLms1uwo,M I R - Naktys Dienos,OHMYISTHATMIR,1667395,,,184,song video / unknown format,yes,unknown / likely mixed,unknown / mixed,Lithuanian rap / hip-hop,melodic_hiphop_poprap,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas repas,12
YouTube search via yt-dlp,2026-06-14,lietuviškas pop,Lithuanian pop,4,zLJkV1qBdK0,https://www.youtube.com/watch?v=zLJkV1qBdK0,BALIŲ DAINOS VAKARĖLIAMS - MEGAMIX vol. 1,Vu Records,1486679,,,7756,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas pop; lietuviška šokių muzika,13
YouTube search via yt-dlp,2026-06-14,lietuviškas repas,Lithuanian rap,4,ZnNqEeF5U1A,https://www.youtube.com/watch?v=ZnNqEeF5U1A,liudna daina [repas] lietuviskai,KRC RECORDS,392603,,,304,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian rap / hip-hop,melodic_hiphop_poprap,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas repas,14
YouTube search via yt-dlp,2026-06-14,lietuviška šokių muzika,Lithuanian dance music,1,dE43d46UYuc,https://www.youtube.com/watch?v=dE43d46UYuc,Lietuviškas šokių remix 2026 v 9,DJ Žemaitis – Lietuviška balių muzika,329369,,,549,song video / unknown format,yes,Lithuanian signal,unknown / mixed,dance-pop / electronic,dance_electronic,summer / party,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviška šokių muzika,15
YouTube search via yt-dlp,2026-06-14,lietuviškos meilės dainos,Lithuanian love songs,2,JZK72plD7zE,https://www.youtube.com/watch?v=JZK72plD7zE,MARSA - Tavo meilės niekas neatstos (2024),Grupė MARSA,266684,,,214,song video / unknown format,yes,Lithuanian signal,unknown / mixed,love song / pop ballad,pop_ballad,romantic / love,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos meilės dainos,16
YouTube search via yt-dlp,2026-06-14,lietuviškos meilės dainos,Lithuanian love songs,3,z3w_-pFYFak,https://www.youtube.com/watch?v=z3w_-pFYFak,Savaitgalis su Muzika Kuri Veža #5 — Meilės vakaras,Muzika Kuri Veža,140038,,,1350,song video / unknown format,no,Lithuanian signal,unknown / mixed,love song / pop ballad,pop_ballad,romantic / love,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos meilės dainos,17
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,2,gcKp_18dlEE,https://www.youtube.com/watch?v=gcKp_18dlEE,Lietuviška muzika vakarui 🔥 Naujausios LT Dainos | Best Lithuanian Songs 2026,LT Vibes,131887,,,3477,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop / mixed,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos; lietuviška muzika; lietuviškas pop; lietuviška šokių muzika,18
YouTube search via yt-dlp,2026-06-14,lietuviškos meilės dainos,Lithuanian love songs,4,qhb5CYwRseg,https://www.youtube.com/watch?v=qhb5CYwRseg,"Likimui aš dėkoju už tave – ypatinga daina, kuri suvirpins tavo širdį | Lietuviška meilės baladė",Vida Pilipavičienė,82754,,,335,song video / unknown format,yes,Lithuanian signal,unknown / mixed,love song / pop ballad,pop_ballad,romantic / love,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos meilės dainos,19
YouTube search via yt-dlp,2026-06-14,lietuviškas pop,Lithuanian pop,8,Cwx_hZuNzKc,https://www.youtube.com/watch?v=Cwx_hZuNzKc,Geriausia Lietuviška MUZIKA 2026 🔥 Best Lithuanian Pop Songs,LT Vibes,77730,,,3668,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas pop,20
YouTube search via yt-dlp,2026-06-14,lietuviška muzika,Lithuanian music broad,6,ISm_MK3fogk,https://www.youtube.com/watch?v=ISm_MK3fogk,Lietuviškos Dainos 2025 🔥 Best Lithuanian Pop Mix,LT Vibes,62958,,,1615,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviška muzika; lietuviška šokių muzika,21
YouTube search via yt-dlp,2026-06-14,lietuviška muzika,Lithuanian music broad,8,X8QL3vujCgM,https://www.youtube.com/watch?v=X8QL3vujCgM,Lietuviška Muzika 2026 🔥 Best Lithuanian Pop Mix | Vol. 22,LT Vibes,56441,,,1875,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviška muzika; lietuviškas pop; lietuviška šokių muzika,22
YouTube search via yt-dlp,2026-06-14,lietuviškas repas,Lithuanian rap,3,qvuVtLepPfg,https://www.youtube.com/watch?v=qvuVtLepPfg,Lietuviškas vaikų repas ( Paulius Samoška ),Stichas Business,37105,,,105,song video / unknown format,yes,Lithuanian signal,unknown / mixed,Lithuanian rap / hip-hop,melodic_hiphop_poprap,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas repas,23
YouTube search via yt-dlp,2026-06-14,lietuviškas repas,Lithuanian rap,5,Wq0D-zRgszQ,https://www.youtube.com/watch?v=Wq0D-zRgszQ,Lietuvos istorijos repas su Žodžiais remake,Simbian Stuff,26271,,,343,lyric video / lyrics,yes,Lithuanian signal,unknown / mixed,Lithuanian rap / hip-hop,melodic_hiphop_poprap,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas repas,24
YouTube search via yt-dlp,2026-06-14,lietuviškos meilės dainos,Lithuanian love songs,6,xk4F_aFLuB4,https://www.youtube.com/watch?v=xk4F_aFLuB4,Aistė Pilvelytė ir Vaida Genytė - Meilės Nerylėk (Lyric Video). Lietuviška Daina Su Žodžiais,Muzikinė Partija,19669,,,299,lyric video / lyrics,yes,Lithuanian signal,unknown / mixed,love song / pop ballad,pop_ballad,romantic / love,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos meilės dainos,25
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,3,VTthRKjOvaY,https://www.youtube.com/watch?v=VTthRKjOvaY,Lietuviškos dainos 2026 🔥 Nauji hitai vienoje vietoje | Best Lithuanian Songs,LT Vibes,17063,,,3578,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop / mixed,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos; lietuviška muzika,26
YouTube search via yt-dlp,2026-06-14,lietuviškas repas,Lithuanian rap,7,UW6jO06aJpE,https://www.youtube.com/watch?v=UW6jO06aJpE,Tarp Žemės ir Dangaus (Lietuviškas Repas),dovydas viskobun,16553,,,3447,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian rap / hip-hop,melodic_hiphop_poprap,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas repas,27
YouTube search via yt-dlp,2026-06-14,lietuviškos meilės dainos,Lithuanian love songs,5,qljHiocajDI,https://www.youtube.com/watch?v=qljHiocajDI,Muzika Kuri Veža - Aš ir Tu (Meilės daina) 2025,Muzika Kuri Veža,12517,,,195,song video / unknown format,yes,Lithuanian signal,unknown / mixed,love song / pop ballad,pop_ballad,romantic / love,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos meilės dainos,28
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,4,u5k2NIqalcQ,https://www.youtube.com/watch?v=u5k2NIqalcQ,Lietuviškos Dainos 2026 🔥 Vakaro Muzika | Best Lithuanian Songs,LT Vibes,11024,,,3330,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop / mixed,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos; lietuviška šokių muzika,29
YouTube search via yt-dlp,2026-06-14,lietuviškas pop,Lithuanian pop,2,7KxL3Qb6Acs,https://www.youtube.com/watch?v=7KxL3Qb6Acs,Nauji Lietuviški Hitai 🔥 LT Pop Mix 2025,Lietuviški hitai,4926,,,3155,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškas pop,30
YouTube search via yt-dlp,2026-06-14,lietuviškos meilės dainos,Lithuanian love songs,8,qD25-HuJa3c,https://www.youtube.com/watch?v=qD25-HuJa3c,Myliu Tave (Nostalgiška daina apie meilę) - Gražiausios lietuviškos dainos 2026: (Robertas M. Remix),Robertas Marcinkevičius,4686,,,225,song video / unknown format,yes,Lithuanian signal,unknown / mixed,dance-pop / electronic,dance_electronic,romantic / love,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos meilės dainos,31
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,5,YvvJMwapOr4,https://www.youtube.com/watch?v=YvvJMwapOr4,Geriausi Hitai | Lietuviškos Dainos 2026,Lietuviški akordai,2710,,,6782,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,Lithuanian pop / mixed,pop_alt_pop,general / mixed,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos,32
YouTube search via yt-dlp,2026-06-14,lietuviškos meilės dainos,Lithuanian love songs,7,bJgo8hrf00w,https://www.youtube.com/watch?v=bJgo8hrf00w,"Meilė, kuri lieka | Populiariausios lietuviškos dainos (30 min.) #originalimuzika",Vida Pilipavičienė,2343,,,1788,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,love song / pop ballad,pop_ballad,romantic / love,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos meilės dainos,33
YouTube search via yt-dlp,2026-06-14,lietuviškos dainos,Lithuanian songs broad,1,wuV0p73tlOg,https://www.youtube.com/watch?v=wuV0p73tlOg,Senos Geros Lietuviškos Dainos su Žodžiais – Joninių Vakaro Rinkinys 2026 (1 Val.),Robertas Marcinkevičius,2149,,,3641,playlist / compilation / long mix,no,Lithuanian signal,unknown / mixed,nostalgia / catalog pop,nostalgia_catalog,nostalgic,"Search-result metadata; view_count may be global YouTube views, not Lithuania-only views.",lietuviškos dainos,34
