video_id,song_title,channel_title,published_at,youtube_url,view_count,like_count,comment_count,search_query,description_preview,auto_review_flag,manual_valid,language_verified,is_music_video,ai_suno_related,channel_type,genre_style,manual_theme,review_notes
c5s6ZFWEttU,SUNO AI V5 VE SUNO STUDIO NASIL KULLANILIR. ŞARKI YAPMAYI ÖĞREN,Bora Uzen,2025-10-08T16:30:13Z,https://www.youtube.com/watch?v=c5s6ZFWEttU,104572,3095,667,Turkish Suno song,🎵 Suno AI Studio nasıl kullanılır? Yapay zekayla şarkı yapmayı kendi sesini eklemeyi öğren! Suno Kelimeler açıklamada aş,likely_tutorial,,,,,,,,
m5o1hKci8MI,SUNO AI: Gizli Özellikler (Gerçek) #Suno #SunoAI #yapayzeka #müzik,Derine Dalıyoruz: Yapay Zeka,2025-04-12T09:56:30Z,https://www.youtube.com/watch?v=m5o1hKci8MI,79024,3023,63,Turkish Suno song,"Videonun orijinali: https://youtube.com/shorts/QCQh6SW-kyQ?si=4xc3NqBJeFIefiX1 Suno AI, müzik projelerinizi yapay zeka d",likely_song,,,,,,,,
JUsujSKzZCA,Suno AI ile 1 Dakikada Şarkı Üret! – Adım Adım Türkçe Rehber,Hasan Ersoy,2025-11-30T20:57:40Z,https://www.youtube.com/watch?v=JUsujSKzZCA,1436,26,3,Turkish Suno song,Suno AI ile dakikalar içinde profesyonel bir şarkı nasıl yapılır? Bu videoda adım adım gösteriyorum: prompt yazımı ➤ vok,likely_tutorial,,,,,,,,
BZ8iJHmzty4,Suno AI Gelişmiş Komutlar 🎵 | Profesyonel Müzik Üretmenin Sırları (Prompt Rehberi),Yapay Zeka Akademisi,2025-12-16T20:15:01Z,https://www.youtube.com/watch?v=BZ8iJHmzty4,17238,694,119,Suno Türkçe şarkı,"Bu videoda Suno AI ile müzik üretirken kaliteyi doğrudan etkileyen gelişmiş komutları paylaştım. Vokal davranışları, arm",likely_tutorial,,,,,,,,
r_glqq5DUxc,SUNO 5.5 İLE SES KLONLAMA GELDİ! Kendi Sesinle Şarkı Yaptır!,Mustafa İNCE,2026-03-27T19:00:06Z,https://www.youtube.com/watch?v=r_glqq5DUxc,34065,1072,842,Suno Türkçe şarkı,Artık kendi sesinizle şarkı yapmak hayal değil! Suno 5.5 güncellemesiyle birlikte Voice Cloning (Ses Klonlama) özelliğin,likely_tutorial,,,,,,,,
XiPeDs_Mp48,Suno'ya Kendi Şarkılarınızı Yüklemeden Önce Bu Video'yu İzleyin,Orçun Ayata - Mix Akademisi,2025-11-26T14:32:28Z,https://www.youtube.com/watch?v=XiPeDs_Mp48,20064,477,142,Suno Türkçe şarkı,Suno'nun tüm kullanım şartlarını buradan okuyabilirsiniz: https://suno.com/terms-of-service 🔥 Logic Pro ile Müzik Prodük,likely_tutorial,,,,,,,,
jvOYMival54,Suno AI'da Kimsenin Bilmediği Komutlar! (Daha İyi Müzik Üret),Yapay Zeka Akademisi,2026-03-09T20:07:23Z,https://www.youtube.com/watch?v=jvOYMival54,12499,794,84,Suno Türkçe şarkı,Bu videoda Suno AI'da kimsenin bilmediği komutları paylaşıyorum. Bu komutları kullanarak Suno AI ile çok daha kaliteli v,likely_tutorial,,,,,,,,
w1dQs_KmN-A,KENDİ SESİNLE Yapay Zeka Şarkısı Yap! | Yapay Zeka Şarkı Düzenleme - SUNO Ses Değiştirme,Özgür W,2026-01-27T15:01:44Z,https://www.youtube.com/watch?v=w1dQs_KmN-A,16287,650,64,Suno Türkçe şarkı,"Yapay zeka müziklerini kendi sesimizle değiştiriyoruz. Sesinizi klonlayıp ister cover yapın, ister kendi şarkılarınızı ç",likely_song,,,,,,,,
zsHXUAqfHKk,İçmeden Oy Oy - Fatih Bulut | Yapay Zeka AI Cover - Anatolia Live,Anatolia Live,2026-04-18T14:30:13Z,https://www.youtube.com/watch?v=zsHXUAqfHKk,1367791,2842,53,yapay zeka Türkçe şarkı,"Fatih Bulut’un efsaneleşen enerjik yorumuyla tanınan ""İçmeden Oy Oy"" türküsünü, en yeni yapay zeka teknolojilerini kulla",likely_mix_or_compilation,,,,,,,,
6s71hheRmJ4,"2026 EN ÇOK DİNLENEN ŞARKILAR - Top 10 Türkçe Pop Cover (Blok3, Semicenk, Sefo)",Yıldız Cover,2026-01-12T13:54:53Z,https://www.youtube.com/watch?v=6s71hheRmJ4,2988549,7815,189,yapay zeka Türkçe şarkı,"2026 EN ÇOK DİNLENEN ŞARKILAR - Top 10 Türkçe Pop Cover (Blok3, Semicenk, Sefo) Yıldız Cover kanalına hoş geldiniz! 🏠🎶 2",likely_song,,,,,,,,
Sv37kx37PvQ,Nikbinler - Eylülzede | 70s Psychedelic Anatolian Rock,Anatolian Psych Rock Lab,2025-09-25T12:52:18Z,https://www.youtube.com/watch?v=Sv37kx37PvQ,47173479,238532,13438,yapay zeka Türkçe şarkı,"Merhaba sevgili dostlar. Serkan Selay beyefendinin bizlere ulaşması sonucunda, bugün tam bir kolektif çalışmayla ortaya ",likely_song,,,,,,,,
4LmO2QiY890,Best of Anadolu Remix – En İyiler | Psychedelic Anatolian Rock (Full Album),Anadolu Remix,2026-01-23T17:00:42Z,https://www.youtube.com/watch?v=4LmO2QiY890,1068663,5103,178,yapay zeka Türkçe şarkı,"Anadolu’nun kadim türküleri; özünden, hüznünden ve asil ruhundan zerre kopmadan, yüksek kaliteli Psychedelic Anatolian R",likely_mix_or_compilation,,,,,,,,
tEb7nVKBoAc,En Çok Dinlenen 13 Türkü | Psychedelic Anatolian Rock Mix,Anatolian Waves,2026-04-13T05:30:33Z,https://www.youtube.com/watch?v=tEb7nVKBoAc,797568,2758,90,yapay zeka Türkçe şarkı,"Anadolu'nun kadim melodileri, modern ""Psychedelic Anatolian Rock"" tınılarıyla tek bir videoda buluşuyor. Anatolian Waves",likely_mix_or_compilation,,,,,,,,
h8a1BXXqXS0,ALIŞIRIM (Kısmet Değilmiş Mutluluk) (Akustik Cover) – AI Cover | Musicihan Production (Hareketli),Musicihan Production,2026-04-06T13:56:46Z,https://www.youtube.com/watch?v=h8a1BXXqXS0,942852,2719,86,yapay zeka Türkçe şarkı,"1987 yılında yayımlanan Alışırım albümüyle özdeşleşen “Alışırım”, güçlü yorumu ile Harika Avcı tarafından geniş kitleler",likely_song,,,,,,,,
f3D54P4FwG0,Yaşlanırsın Yaşlanırsın | Psychedelic Anatolian Rock Cover,Anatolia Tunes,2025-11-12T18:56:23Z,https://www.youtube.com/watch?v=f3D54P4FwG0,8364382,18413,547,yapay zeka Türkçe şarkı,"🪔 Yaşlanırsın Yaşlanırsın Zamanın acı-tatlı gerçeğini dile getiren, gönüllerimize taht kurmuş efsane türkü ""Yaşlanırsın""",likely_song,,,,,,,,
TqwBypSQQyE,Vay Bana Vaylar Bana (70s Anatolian Rock) – Arya Müzik Lab,Arya Music Lab,2025-11-29T18:58:31Z,https://www.youtube.com/watch?v=TqwBypSQQyE,8375043,14535,272,yapay zeka Türkçe şarkı,"Anadolu’nun acı dolu ezgilerinden biri, Arya’nın güçlü ve duygulu kadın vokaliyle yeniden can buluyor. 70’ler Anadolu Ro",likely_mix_or_compilation,,,,,,,,
hQfhk3VH8tE,En Çok Dinlenen Şarkılar \ Türkçe Pop Remix Şarkılar 2025 HiTs 2025,Rafis Ceferzade,2025-06-19T14:00:06Z,https://www.youtube.com/watch?v=hQfhk3VH8tE,6165043,14837,203,Turkish pop music,Instagram : https://www.instagram.com/rafisceferzade/ Facebook ; https://az-az.facebook.com/RafisCeferzade/ TikTok : htt,likely_mix_or_compilation,,,,,,,,
Tb-zjsEqr1k,Tuğba Yurt - İnceden İnceden,netd müzik,2017-09-20T09:00:04Z,https://www.youtube.com/watch?v=Tb-zjsEqr1k,208925108,404284,13275,Turkish pop music,"Tuğba Yurt'un, DMC etiketiyle yayınlanan ""İnceden İnceden"" isimli tekli çalışması, video klibiyle netd müzik'te. Söz: Du",likely_song,,,,,,,,
GR6r-jIryH0,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video),Poll Production,2025-07-30T16:30:07Z,https://www.youtube.com/watch?v=GR6r-jIryH0,63861598,124948,3181,Turkish pop music,Tefo & Seko Ft. Serdar Ortaç - Heyecan (Official Video) Abone OL( Subscribe): http://bit.ly/28R8iGZ Spotify: https://bit,likely_tutorial,,,,,,,,
GILi_0RamtY,Simge - Önümüz Yaz,netd müzik,2024-06-21T15:00:16Z,https://www.youtube.com/watch?v=GILi_0RamtY,100392452,174680,5628,Turkish pop music,"Simge'nin, Simge Sağın Production etiketiyle yayınlanan ""Önümüz Yaz"" isimli tekli çalışması, 4K çözünürlüğünde video kli",likely_mix_or_compilation,,,,,,,,
IcXsGn_iFUA,Türkçe Pop Müzik 2025 Mix 🎶 En Çok Dinlenen Pop Müzik 2024 ️️🎧 En Güzel Şarkılar 2025 🔊,Best Club Remix,2025-02-12T05:30:06Z,https://www.youtube.com/watch?v=IcXsGn_iFUA,2375191,4721,87,Turkish pop music,Türkçe Pop Müzik 2025 Mix 🎶 En Çok Dinlenen Pop Müzik 2024 ️️🎧 En Güzel Şarkılar 2025 🔊 #türkçepopremix #popşarkılar #re,likely_mix_or_compilation,,,,,,,,
jWh-7JGuxTo,Hadise - Ara Beni | Official Visualizer,Hadise Acikgoz,2026-06-11T16:30:37Z,https://www.youtube.com/watch?v=jWh-7JGuxTo,43338575,155037,5736,Turkish pop music,"""Ara Beni"" şimdi tüm dijital platformlarda yayında. Spotify: https://tinyurl.com/yey57s2a Apple Music: https://tinyurl.c",likely_mix_or_compilation,,,,,,,,
sprukwRl9ZQ,Hande Yener - Naber (Official Video),Poll Production,2014-09-15T19:48:31Z,https://www.youtube.com/watch?v=sprukwRl9ZQ,184109503,323895,13633,Turkish pop music,Hande Yener - Naber (Official Video) Abone OL( Subscribe): http://bit.ly/28R8iGZ Spotify: https://bit.ly/3MAUj9j Apple M,likely_song,,,,,,,,
_NoTqg152B0,"Sefo, Demet Akalın - Yerinde Dur (Official Video)",Sefo,2025-06-26T21:00:07Z,https://www.youtube.com/watch?v=_NoTqg152B0,318465932,757816,42495,Turkish pop music,Official Video by Sefo & Demet Akalın performing Yerinde Dur (C) 2025 3TR6AP2 exclusive licensed to Sony Music Turkey Sö,likely_mix_or_compilation,,,,,,,,
YqNqw4o-JBY,Emrah Karaduman feat. Murat Dalkılıç - Kırk Yılda Bir Gibisin,netd müzik,2015-06-18T09:52:57Z,https://www.youtube.com/watch?v=YqNqw4o-JBY,259863430,608004,17901,Turkish pop music,"Emrah Karaduman'ın, DMC etiketiyle yayınlanan ""Toz Duman"" albümünde yer alan ve Murat Dalkılıç'ın seslendirdiği ""Kırk Yı",likely_song,,,,,,,,
bES7yYUZSkU,Aşka Yürek Gerek,Mustafa Sandal - Topic,2025-03-24T18:02:58Z,https://www.youtube.com/watch?v=bES7yYUZSkU,29547538,61698,132,Turkish pop music,Provided to YouTube by The Orchard Enterprises Aşka Yürek Gerek · Mustafa Sandal · Phoebus Tassopoulos · Sibel Alaş Aşka,likely_song,,,,,,,,
4gJNs5nTH0k,Turkish old Gallipoli Folk Song (Turkish Song) Çanakkale Türküsü,Tamil Taklamakan,2012-07-11T20:46:57Z,https://www.youtube.com/watch?v=4gJNs5nTH0k,1057710,14943,3059,Turkish folk song,"The Gallipoli Campaign, also known as the Dardanelles Campaign or the Battle of Gallipoli or the Battle of Çanakkale (Tu",likely_song,,,,,,,,
ag0D16-y0to,Turkish Folk Song - Üsküdar'a Gider İken (Katibim),Folk Songs International,2021-03-15T14:40:55Z,https://www.youtube.com/watch?v=ag0D16-y0to,368043,4300,229,Turkish folk song,●▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬● 💕 Welcome to my Folk Songs Channel. 💕 💕 This channel includes songs of many countries. 💕 💕 If you w,likely_mix_or_compilation,,,,,,,,
9oZIOfx87Ww,Bulut Gelir (Türkiye) | Ethno Catalonia 2023,Ethno Catalonia,2024-04-26T15:16:59Z,https://www.youtube.com/watch?v=9oZIOfx87Ww,2709254,28203,1350,Turkish folk song,Title: Bulut Gelir Performed by: EthnoCatalonia Orchestra Composer: Traditional (Türkiye) Main singer: Ceren Kaçar Main ,likely_song,,,,,,,,
Z4fKe_EGw7k,ER TURAN / TÜRKÇE,TURAN ethno-folk ensemble,2021-02-23T18:00:14Z,https://www.youtube.com/watch?v=Z4fKe_EGw7k,28504097,285467,16695,Turkish folk song,"""ТҰРАН"" ансамблінің Түркі әлемінің ұранына айналған әйгілі ""ERTURAN"" композициясы түрік тілінде... Авторы:Тұран Сөзі: И.",likely_song,,,,,,,,
mbY17Lr_wu4,Folk music from Turkey - Üsküdara,Arany Zoltán,2009-06-04T09:49:02Z,https://www.youtube.com/watch?v=mbY17Lr_wu4,1038726,11566,762,Turkish folk song,#turkish #folkmusic #aranyzoltan https://www.facebook.com/Arany-Zolt%C3%A1n-Music-274856225999515/ http://aranyzoltan.hu,likely_song,,,,,,,,
Ov2SmWd_SWg,Instrumental Turkish Music | Kanun & Guitar -1 ♫ ᴴᴰ,Güncel Paylaşımlar TV,2020-11-12T12:00:10Z,https://www.youtube.com/watch?v=Ov2SmWd_SWg,14830662,116205,2647,Turkish folk song,𝗬𝗘𝗡𝗶! (Sound of Kanun) https://youtu.be/0wr-bCtgHsQ Enjoy 1 hours of relaxing Instrumental Turkish Music. You can use it,likely_mix_or_compilation,,,,,,,,
t3P9N6QJ1Lc,Turkish Folk Song - Ankara,Folk Songs International,2021-02-05T00:08:26Z,https://www.youtube.com/watch?v=t3P9N6QJ1Lc,94132,1476,107,Turkish folk song,●▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬● 💕 Welcome to my Folk Songs Channel. 💕 💕 This channel includes songs of many countries. 💕 💕 If you w,likely_song,,,,,,,,
l41PpJiwAbo,ÜSKÜDAR'A GİDER İKEN - Katibim – Coşkulu Rum Taverna Yorumu | Turkish Greek Music,Müzik Tasarım,2026-02-05T16:52:12Z,https://www.youtube.com/watch?v=l41PpJiwAbo,250563,2132,180,Turkish folk song,"“One of the most beloved melodies of our musical heritage.” Katibim (Üsküdar’a Gider İken), bu kez 1960’ların Rum tavern",likely_song,,,,,,,,
Z8SK_IzAS4U,Ottoman Janissary Song: Küffar (English Lyrics),Kuzitonord,2022-11-24T19:59:13Z,https://www.youtube.com/watch?v=Z8SK_IzAS4U,2598050,41793,7726,Turkish folk song,"! Uploaded for educational purposes ! After the victory of Ottomans at 1596 Siege of Eger, Austrian and Ottoman armies c",likely_song,,,,,,,,
8RfVZkohnh8,Best Turkish Folk Songs | Traditional Music #1,Folk Anatolia,2017-12-13T02:23:18Z,https://www.youtube.com/watch?v=8RfVZkohnh8,416559,3934,513,Turkish folk song,#folkmusic #traditional #turkish ➡️ Subscribe to my YouTube Channel: https://www.youtube.com/channel/UC3y7U3PLdpHO3HFItY,likely_mix_or_compilation,,,,,,,,
